2022-07-22 15:09:15,608 |     INFO | Starting trading algorithm
2022-07-22 15:09:17,023 |     INFO | Initialized price at : 1588.6
2022-07-22 15:09:17,084 |     INFO | PROGRAM START
2022-07-22 15:09:19,085 |    ERROR | Unable to check position status : 'Database' object has no attribute 'total_yield'
2022-07-22 15:09:21,086 |    ERROR | Unable to check position status : 'Database' object has no attribute 'total_yield'
2022-07-22 15:09:23,087 |    ERROR | Unable to check position status : 'Database' object has no attribute 'total_yield'
2022-07-22 15:09:24,923 |     INFO | PROGRAM END
2022-07-22 15:12:39,697 |     INFO | Starting trading algorithm
2022-07-22 15:12:41,247 |     INFO | Initialized price at : 1598.7
2022-07-22 15:12:41,314 |     INFO | PROGRAM START
2022-07-22 15:12:43,315 |    ERROR | Unable to check position status : You must be authenticated to use this method
2022-07-22 15:12:45,184 |     INFO | PROGRAM END
2022-07-22 15:16:34,953 |     INFO | Starting trading algorithm
2022-07-22 15:16:36,439 |     INFO | Initialized price at : 1598.1
2022-07-22 15:16:36,496 |     INFO | PROGRAM START
2022-07-22 15:16:38,496 |    ERROR | Unable to check position status : You must be authenticated to use this method
2022-07-22 15:16:40,497 |    ERROR | Unable to check position status : You must be authenticated to use this method
2022-07-22 15:16:42,501 |    ERROR | Unable to check position status : You must be authenticated to use this method
2022-07-22 15:16:44,507 |    ERROR | Unable to check position status : You must be authenticated to use this method
2022-07-22 15:16:46,512 |    ERROR | Unable to check position status : You must be authenticated to use this method
2022-07-22 15:16:46,684 |     INFO | PROGRAM END
2022-07-22 15:20:06,424 |     INFO | Starting trading algorithm
2022-07-22 15:20:07,751 |     INFO | Initialized price at : 1601.0
2022-07-22 15:20:07,807 |     INFO | PROGRAM START
2022-07-22 15:20:34,100 |     INFO | PROGRAM END
2022-07-22 15:22:20,824 |     INFO | Starting trading algorithm
2022-07-22 15:22:22,402 |     INFO | Initialized price at : 1598.1
2022-07-22 15:22:22,462 |     INFO | PROGRAM START
2022-07-22 15:22:54,745 |     INFO | PROGRAM END
2022-07-22 15:22:55,841 |     INFO | Starting trading algorithm
2022-07-22 15:22:57,362 |     INFO | Initialized price at : 1598.0
2022-07-22 15:22:57,397 |     INFO | PROGRAM START
2022-07-22 15:24:19,194 |     INFO | PROGRAM END
2022-07-22 15:24:20,112 |     INFO | Starting trading algorithm
2022-07-22 15:24:22,361 |     INFO | Initialized price at : 1596.2
2022-07-22 15:24:22,398 |     INFO | PROGRAM START
2022-07-22 15:25:39,565 |     INFO | Starting trading algorithm
2022-07-22 15:25:41,095 |     INFO | Initialized price at : 1597.5
2022-07-22 15:25:41,167 |     INFO | PROGRAM START
2022-07-22 15:26:51,365 |     INFO | Starting trading algorithm
2022-07-22 15:26:52,987 |     INFO | Initialized price at : 1597.6
2022-07-22 15:26:53,034 |     INFO | PROGRAM START
2022-07-22 15:27:19,068 |     INFO | PROGRAM END
2022-07-22 15:27:20,705 |     INFO | Starting trading algorithm
2022-07-22 15:27:22,278 |     INFO | Initialized price at : 1594.4
2022-07-22 15:27:22,318 |     INFO | PROGRAM START
2022-07-22 15:27:36,748 |     INFO | PROGRAM END
2022-07-22 15:27:46,924 |     INFO | Starting trading algorithm
2022-07-22 15:27:48,383 |     INFO | Initialized price at : 1593.1
2022-07-22 15:27:48,423 |     INFO | PROGRAM START
2022-07-22 15:27:54,087 |     INFO | PROGRAM END
2022-07-22 15:28:22,163 |     INFO | Starting trading algorithm
2022-07-22 15:28:23,592 |     INFO | Initialized price at : 1596.0
2022-07-22 15:28:23,657 |     INFO | PROGRAM START
2022-07-22 15:29:22,661 |     INFO | PROGRAM END
2022-07-22 15:29:23,822 |     INFO | Starting trading algorithm
2022-07-22 15:29:25,351 |     INFO | Initialized price at : 1597.8
2022-07-22 15:29:25,386 |     INFO | PROGRAM START
